23.91.1.1	23.91.1.255
43.224.249.1	43.224.249.255
43.248.10.1	43.248.10.255
45.119.127.1	45.119.127.255
45.125.12.1	45.125.12.255
56.46.80.1	56.46.80.255
103.40.100.1	103.40.100.255
103.213.249.1	103.213.249.255
107.151.20.1	107.151.20.255
107.151.247.1	107.151.247.255
114.112.28.1	114.112.28.255
115.47.53.1	115.47.53.255
123.57.254.1	123.57.254.255
123.184.19.1	123.184.19.255
123.249.24.1	123.249.24.255
124.172.137.1	124.172.137.255
124.232.164.1	124.232.164.255
125.88.181.1	125.88.181.255
155.94.224.1	155.94.224.255
180.97.215.1	180.97.215.255
180.97.224.1	180.97.224.255
183.60.149.1	183.60.149.255
198.55.114.1	198.55.114.255
218.2.0.1	218.2.0.255
218.93.208.1	218.93.208.255
219.153.13.1	219.153.13.255
221.194.44.1	221.194.44.255
222.186.11.1	222.186.11.255
222.186.27.1	222.186.27.255
222.186.34.1	222.186.34.255
222.186.51.1	222.186.51.255
222.186.56.1	222.186.56.255
222.186.58.1	222.186.58.255
222.186.58.1	222.186.58.255
222.186.134.1	222.186.134.255
